origem_id,destino_id,tempo_seg,distancia_km,nome_origem,nome_destino,linha_origem
95.521,95.522,171,1.635,Локомотив,Измайлово,1
132.711,132.712,238,2.403,Нахабино,Аникеевка,1
135.863,135.864,215,2.142,Люберцы I,Панки,1
136.881,136.882,271,2.783,Никольское,Реутов,1
131.693,131.694,136,1.228,Марк,Лианозово,1
2.512,2.53,199,1.955,Технопарк,Коломенская,1
3.105,3.130,198,1.938,Партизанская,Семеновская,1
7.114,7.95,236,2.383,Полежаевская,Октябрьское поле,1
5.104,5.93,143,1.305,Парк культуры,Октябрьская,1
95.525,95.526,122,1.062,Андроновка,Нижегородская,1
135.867,135.868,248,2.521,Малаховка,Удельная,1
1.117,1.155,210,2.083,Преображенская площадь,Черкизовская,1
2.125,2.29,187,1.817,Речной вокзал,Водный стадион,1
4.110,4.150,129,1.149,Пионерская,Филевский парк,1
10.597,10.598,142,1.294,Селигерская,Верхние Лихоборы,1
136.911,136.912,142,1.3,Толстопальцево,Кокошкино,1
131.698,131.699,277,2.859,Тимирязевская,Савёловская,1
97.831,97.832,286,2.959,Кленовый бульвар,Каширская,1
7.62,7.77,135,1.215,Пролетарская,Таганская,1
137.929,137.930,160,1.499,Коммунарка,Новомосковская,1
135.859,135.860,134,1.207,Вешняки,Выхино,1
9.108,9.141,202,1.992,Петровско-Разумовская,Тимирязевская,1
97.602,97.603,138,1.25,Шелепиха,Деловой центр,1
97.601,97.602,217,2.167,Хорошевская,Шелепиха,1
7.139,7.31,329,3.455,Текстильщики,Волгоградский проспект,1
97.809,97.810,217,2.165,Терехово,Кунцевская,1
6.164,6.23,144,1.319,Ясенево,Новоясеневская,1
2.89,2.99,200,1.965,Новокузнецкая,Театральная,1
98.676,98.677,146,1.339,Улица Дмитриевского,Лухмановская,1
136.891,136.892,156,1.455,Рижская,Марьина Роща,1
131.701,131.702,230,2.308,Беговая,Тестовская,1
136.883,136.884,163,1.536,Новогиреево,Кусково,1
1.103,1.64,131,1.167,Парк культуры,Кропоткинская,1
1.679,1.680,177,1.695,Прокшино,Ольховая,1
6.140,6.56,175,1.68,Теплый Стан,Коньково,1
135.855,135.856,148,1.364,Авиамоторная,Андроновка,1
135.836,135.837,259,2.643,Крюково,Малино,1
135.843,135.844,150,1.387,Химки,Левобережная,1
97.827,97.828,262,2.687,Нижегородская,Текстильщики,1
135.864,135.865,250,2.544,Панки,Томилино,1
135.838,135.839,305,3.181,Фирсановская,Сходня,1
136.906,136.907,250,2.543,Новопеределкино,Переделкино,1
10.597,10.835,154,1.433,Селигерская,Яхромская,1
98.764,98.765,192,1.878,Стахановская,Нижегородская,1
131.697,131.698,321,3.368,Окружная,Тимирязевская,1
8.1,8.112,234,2.36,Авиамоторная,Площадь Ильича,1
7.51,7.77,208,2.063,Китай-город,Таганская,1
136.907,136.908,262,2.681,Переделкино,Мичуринец,1
132.738,132.739,405,4.335,Битца,Бутово,1
6.27,6.8,144,1.322,ВДНХ,Алексеевская,1
132.723,132.724,360,3.814,Дмитровская,Рижская,1
132.721,132.722,204,2.008,Красный Балтиец,Гражданская,1
135.874,135.875,284599,3289.935,Фабричная,Раменское,1
10.834,10.835,546,5.963,Лианозово,Яхромская,1
137.928,137.929,287,2.966,Корниловская,Коммунарка,1
97.811,97.812,216,2.155,Давыдково,Аминьевская,1
132.734,132.807,134,1.202,Москворечье,Курьяново,1
132.737,132.738,207,2.044,Красный строитель,Битца,1
95.536,95.537,92,0.714,Кутузовская,Деловой центр,1
5.71,5.76,192,1.869,Курская,Таганская,1
3.131,3.5,145,1.334,Смоленская,Арбатская,1
10.187,10.188,134,1.205,Борисово,Шипиловская,1
135.862,135.863,271,2.788,Ухтомская,Люберцы I,1
6.120,6.137,122,1.058,Проспект Мира,Сухаревская,1
131.696,131.697,194,1.892,Дегунино,Окружная,1
1.4,1.98,85,0.639,Библиотека им.Ленина,Охотный ряд,1
9.22,9.9,201,1.977,Бибирево,Алтуфьево,1
6.140,6.164,222,2.22,Теплый Стан,Ясенево,1
2.19,2.34,205,2.023,Белорусская,Динамо,1
95.529,95.530,130,1.159,Дубровка,Автозаводская,1
9.28,9.97,203,2.003,Владыкино,Отрадное,1
6.21,6.56,138,1.247,Беляево,Коньково,1
98.762,98.763,317,3.323,Юго-Восточная,Окская,1
7.114,7.18,184,1.776,Полежаевская,Беговая,1
131.690,131.691,181,1.743,Водники,Долгопрудная,1
4.110,4.471,149,1.378,Пионерская,Кунцевская,1
132.729,132.730,143,1.306,Новохохловская,Текстильщики,1
2.12,2.34,212,2.105,Аэропорт,Динамо,1
12.166,12.169,93,0.729,Улица Скобелевская,Бульвар Адмирала Ушакова,1
4.136,4.73,109,0.918,Студенческая,Кутузовская,1
10.32,10.75,169,1.607,Волжская,Люблино,1
132.728,132.729,205,2.023,Калитники,Новохохловская,1
97.815,97.816,195,1.908,Новаторская,Воронцовская,1
2.257,2.57,255,2.597,Алма-Атинская,Красногвардейская,1
1.678,1.679,290,3.004,Филатов луг,Прокшино,1
133.609,133.610,201,1.977,Говорово,Солнцево,1
2.38,2.57,174,1.666,Домодедовская,Красногвардейская,1
12.168,12.169,93,0.723,Улица Горчакова,Бульвар Адмирала Ушакова,1
132.732,132.733,175,1.679,Депо,Перерва,1
1.135,1.152,140,1.271,Спортивная,Фрунзенская,1
132.726,132.727,222,2.224,Курская,Москва Товарная,1
132.740,132.741,267,2.735,Щербинка,Остафьево,1
7.160,7.507,204,2.007,Щукинская,Спартак,1
9.128,9.83,163,1.535,Савёловская,Менделеевская,1
133.608,133.609,234,2.356,Озёрная,Говорово,1
9.156,9.43,144,1.313,Чертановская,Севастопольская,1
135.873,135.874,195183,2256.183,Есенинская,Фабричная,1
9.116,9.147,167,1.581,Пражская,Улица Академика Янгеля,1
136.899,136.900,155,1.45,Поклонная,Минская,1
1.149,1.165,226,2.271,Университет,Воробьевы горы,1
6.126,6.8,178,1.709,Рижская,Алексеевская,1
95.535,95.536,285,2.947,Лужники,Кутузовская,1
135.870,135.871,278,2.862,Ильинская,Отдых,1
97.805,97.809,170,1.623,Мнёвники,Терехово,1
135.844,135.845,151,1.401,Левобережная,Ховрино,1
97.803,97.823,197,1.934,Электрозаводская,Сокольники,1
2.122,2.80,90,0.693,Тверская,Маяковская,1
2.12,2.133,126,1.109,Аэропорт,Сокол,1
9.123,9.7,178,1.707,Чеховская,Боровицкая,1
5.55,5.71,197,1.935,Комсомольская,Курская,1
135.849,135.850,318,3.334,Петровско-Разумовская,Останкино,1
3.130,3.161,106,0.882,Семеновская,Электрозаводская,1
9.10,9.147,160,1.503,Аннино,Улица Академика Янгеля,1
136.877,136.878,194,1.897,Железнодорожная,Ольгино,1
135.869,135.870,219,2.188,Быково,Ильинская,1
136.914,136.915,174,1.668,Крёкшино,Победа,1
131.692,131.693,230,2.316,Новодачная,Марк,1
131.704,131.801,165,1.566,Кунцевская,Славянский бульвар,1
12.167,12.168,127,1.124,Бунинская аллея,Улица Горчакова,1
1.4,1.64,104,0.852,Библиотека им.Ленина,Кропоткинская,1
132.724,132.725,209,2.073,Рижская,Площадь трёх вокзалов,1
10.186,10.188,124,1.086,Зябликово,Шипиловская,1
136.900,136.901,358,3.798,Минская,Матвеевское,1
4.14,4.150,110,0.929,Багратионовская,Филевский парк,1
95.543,95.544,215,2.142,Балтийская,Коптево,1
9.115,9.37,134,1.204,Полянка,Серпуховская,1
95.516,95.517,291,3.023,Владыкино,Ботанический сад,1
132.718,132.719,270,2.78,Тушинская,Покровское-Стрешнево,1
135.851,135.852,214,2.125,Рижская,Митьково,1
137.923,137.928,217,2.159,Тютчевская,Корниловская,1
7.465,7.508,131,1.168,Жулебино,Котельники,1
5.49,5.58,200,1.962,Киевская,Краснопресненская,1
132.713,132.714,347,3.661,Опалиха,Красногорская,1
95.541,95.542,183,1.771,Панфиловская,Стрешнево,1
3.17,3.70,202,1.983,Бауманская,Курская,1
95.537,95.538,135,1.217,Деловой центр,Шелепиха,1
133.612,133.613,161,1.516,Новопеределкино,Рассказовка,1
9.10,9.170,213,2.119,Аннино,Бульвар Дмитрия Донского,1
136.898,136.899,205,2.021,Кутузовская,Поклонная,1
97.818,97.824,145,1.325,Каховская,Варшавская,1
136.890,136.891,209,2.068,Площадь трёх вокзалов,Рижская,1
10.113,10.72,171,1.632,Римская,Чкаловская,1
4.151,4.73,154,1.434,Фили,Кутузовская,1
98.641,98.677,179,1.718,Некрасовка,Лухмановская,1
7.138,7.145,260,2.655,Сходненская,Тушинская,1
135.856,135.857,185,1.792,Андроновка,Перово,1
6.13,6.81,199,1.949,Бабушкинская,Медведково,1
